
1.12.36.8,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.9,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.12,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.58,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.86,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.101,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.127,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.132,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.137,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.168,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.223,中国,中国,,,tencent.com,36.894402,104.166,443
1.12.36.6,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.23,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.54,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.68,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.94,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.109,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.137,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.162,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.168,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.210,中国,中国,,,tencent.com,36.894402,104.166,80
1.12.36.246,中国,中国,,,tencent.com,36.894402,104.166,80
