0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
841, !, 210.171.224.148, AS9355, JPIX, Japan Internet Exchange, JP, Tokyo
842, !, 37.49.237.52, AS31638, France-IX, France-IX, FR, Paris
843, !, 206.72.211.44, AS63956, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
844, !, 194.116.96.21, AS16210, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
845, !, 80.249.212.111, AS60868, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
846, !, 185.1.15.41, AS13335, SH-IX, SMARTHUB Internet Exchange, AE, Fujairah UAE
847, !, 80.81.192.221, AS22822, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
848, !, 193.149.1.63, AS31577, ESPANIX, , ES, Madrid
849, !, 206.108.35.11, AS23252, TORIX, Toronto Internet Exchange, CA, Toronto
850, !, 206.81.80.17, AS15169, SIX, Seattle Internet Exchange, US, Seattle
851, !, 218.100.52.5, AS4739, NSW-IX, , AU, Sydney NSW
852, !, 195.191.171.132, AS197113, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
853, !, 206.223.123.198, AS33353, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
854, !, 206.223.123.112, AS3786, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
855, !, 218.100.6.108, AS23637, BBIX Tokyo, , JP, Tokyo//Fukuoka
856, !, 198.32.124.111, AS31800, NOTA, NAP of the Americas, US, Miami
857, !, 210.173.176.146, AS9605, JPNAP Tokyo, Japan Network Access Point Tokyo, JP, Tokyo
858, !, 193.239.116.39, AS31673, NL-IX, Neutral Internet Exchange, NL, Amsterdam
859, !, 5.57.80.226, AS41659, LoNAP, London Network Access Point, GB//Kingdom United, London
860, !, 193.239.116.233, AS51646, NL-IX, Neutral Internet Exchange, NL, Amsterdam
861, !, 103.231.152.27, AS38466, BBIX Singapore, BroadBand Internet eXchange Singapore, SG, Singapore
862, ?, 187.16.219.217, AS52579, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
863, !, 80.249.212.157, AS29278, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
864, !, 80.249.209.73, AS47143, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
865, !, 80.249.208.195, AS24709, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
866, !, 193.42.155.253, AS9033, ECIX HAM, European Commercial Internet Exchange Hamburg, DE, Hamburg
867, !, 198.32.182.101, AS6614, Equinix Atlanta, Equinix Internet Exchange Atlanta, US, Atlanta
868, !, 194.68.128.153, AS35706, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
869, !, 195.66.224.70, AS8897, LINX, London Internet Exchange, GB//Kingdom United, London
870, !, 194.9.117.51, AS6939, ECIX-BER, European Commercial Internet Exchange Berlin, DE, Berlin
871, !, 27.111.228.67, AS15133, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
872, !, 123.255.90.153, AS132203, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
873, !, 195.182.218.117, AS12741, PLIX, Polish Internet Exchange, PL, Warsaw
874, !, 80.81.193.125, AS15943, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
875, !, 187.16.220.65, AS53140, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
876, !, 195.66.225.64, AS41095, LINX, London Internet Exchange, GB//Kingdom United, London
877, !, 80.249.210.140, AS1241, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
878, !, 187.16.192.254, AS26162, PTT Sao Jose dos Campos, IX.br São José dos Campos, BR, SP Sao dos Jose Campos
879, !, 192.203.154.51, AS13335, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
880, !, 5.57.81.110, AS43545, LoNAP, London Network Access Point, GB//Kingdom United, London
881, !, 206.41.109.10, AS11170, TahoeIX, Tahoe Internet Exchange, US, Northern Nevada//Reno
882, !, 123.255.91.87, AS4058, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
883, !, 193.189.82.130, AS44444, KleyRex, KleyReX Internet Exchange, DE, Frankfurt am Main
884, !, 91.213.211.88, AS57007, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
885, !, 187.16.220.226, AS263558, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
886, !, 206.126.237.178, AS394497, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
887, !, 123.255.91.247, AS63199, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
888, !, 62.69.146.49, AS3856, , European Commercial Internet Exchange, DE, Frankfurt
889, !, 198.32.160.234, AS33891, NYIIX, New York International Internet Exchange, US, York New
890, !, 206.130.10.158, AS17378, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
891, !, 206.81.81.60, AS18106, SIX, Seattle Internet Exchange, US, Seattle
892, !, 80.249.213.9, AS31319, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
893, !, 103.26.71.31, AS9280, MegaIX Melbourne, Megaport MegaIX Melbourne, AU, Melbourne
894, !, 195.245.240.152, AS16086, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
895, ?, 218.100.78.85, AS7600, Victoria Internet Exchange, VIC-IX, QLD-IX, Queensland Internet Exchange, AU, Victoria Melbourne//Brisbane
896, !, 195.66.226.52, AS28757, LINX, London Internet Exchange, GB//Kingdom United, London
897, !, 195.66.238.183, AS200700, LINX, London Internet Exchange, GB//Kingdom United, London
898, !, 193.239.116.213, AS5390, NL-IX, Neutral Internet Exchange, NL, Amsterdam
899, !, 185.1.8.34, AS200851, UAE-IX, UAE-IX powered by DE-CIX, AE, Dubai
900, !, 193.239.116.182, AS51646, NL-IX, Neutral Internet Exchange, NL, Amsterdam
901, !, 91.217.231.36, AS3856, IXLeeds, Leeds Internet Exchange, GB//Kingdom United, Western Yorkshire Leeds
902, !, 203.163.222.25, AS18182, TPIX, Taipei Internet Exchange, TW, Taiwan Taipei
903, !, 193.203.0.205, AS32934, VIX, Vienna Internet Exchange, AT, Vienna
904, !, 192.203.154.145, AS9500, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
905, !, 27.111.228.106, AS16276, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
906, !, 195.66.225.81, AS12389, LINX, London Internet Exchange, GB//Kingdom United, London
907, !, 206.223.123.129, AS44654, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
908, !, 206.223.119.162, AS13855, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
909, !, 212.91.0.247, AS32934, Thinx IX, Thinx Poland, PL, Warsaw
910, !, 195.66.225.146, AS49544, LINX, London Internet Exchange, GB//Kingdom United, London
911, !, 193.243.183.90, AS47155, IXOR, Internet exchange point of the Oresund Region, SE, Malmö
912, !, 193.178.185.92, AS13030, BCIX, Berlin Commercial Internet Exchange, DE, Berlin
913, !, 210.173.176.238, AS17506, JPNAP Tokyo, Japan Network Access Point Tokyo, JP, Tokyo
914, !, 195.66.239.35, AS5413, LINX, London Internet Exchange, GB//Kingdom United, London
915, !, 123.255.90.162, AS58779, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
916, !, 5.57.80.116, AS43198, LoNAP, London Network Access Point, GB//Kingdom United, London
917, !, 217.29.66.137, AS60822, MIX, Milan Internet eXchange, IT, Milan
918, !, 198.32.125.119, AS23393, NOTA, NAP of the Americas, US, Miami
919, !, 206.126.236.145, AS22356, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
920, !, 37.49.236.168, AS20940, France-IX, France-IX, FR, Paris
921, ?, 187.16.217.101, AS35788, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
922, !, 80.81.193.159, AS12931, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
923, !, 203.190.230.128, AS10310, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
924, !, 194.146.118.130, AS15169, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
925, !, 194.42.48.28, AS61337, Equinix Zurich, Equinix Zurich formerly TIX, CH, Zurich
926, !, 103.16.102.43, AS3856, SGIX, Singapore Internet Exchange, SG, Singapore
927, !, 80.249.208.61, AS15224, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
928, !, 195.66.224.231, AS9009, LINX, London Internet Exchange, GB//Kingdom United, London
929, !, 206.108.114.7, AS394109, TPAIX, Tampa Internet Exchange, US, Tampa
930, !, 178.18.224.156, AS50643, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
931, !, 194.54.93.125, AS41692, OCIX Frankfurt, OpenCarrier e.G. Member IX Frankfort, DE, Frankfurt
932, !, 206.126.225.31, AS21570, YYCIX, Calgary Internet Exchange, CA, Calgary
933, !, 206.223.123.53, AS22591, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
934, !, 210.171.224.135, AS9601, JPIX, Japan Internet Exchange, JP, Tokyo
935, !, 206.81.80.207, AS33588, SIX, Seattle Internet Exchange, US, Seattle
936, !, 200.110.120.10, AS22724, NAP.EC - GYE, NAP / IXP / IX / PIT del Ecuador - Guayaquil, EC, Guayaquil GYE
937, !, 195.66.226.65, AS13006, LINX, London Internet Exchange, GB//Kingdom United, London
938, !, 37.49.236.73, AS31449, France-IX, France-IX, FR, Paris
939, !, 210.62.255.2, AS18182, TWIX, Taiwan Internet Exchange, TW, Taipei
940, !, 210.173.176.31, AS23783, JPNAP Tokyo, Japan Network Access Point Tokyo, JP, Tokyo
941, !, 195.66.236.149, AS10474, LINX, London Internet Exchange, GB//Kingdom United, London
942, !, 194.116.96.201, AS43142, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
943, !, 206.126.236.21, AS15169, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
944, ?, 198.32.132.227, AS5009, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
945, !, 200.14.39.252, AS52376, , NAP CABASE De la Costa, AR, De La Costa//Mar del Tuyú
946, !, 193.242.98.160, AS43578, CATNIX, Catalunya Neutral Internet Exchange, ES, Barcelona
947, !, 80.81.194.241, AS9329, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
948, ?, 206.126.115.76, AS63290, TIE New York, TelX Internet Exchange, Digital Realty | Telx New York, Digital Realty New York Internet Exchange, US, Jersey York New
949, !, 206.108.35.45, AS46489, TORIX, Toronto Internet Exchange, CA, Toronto
950, !, 195.66.238.143, AS31595, LINX, London Internet Exchange, GB//Kingdom United, London
951, !, 206.223.116.54, AS58511, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
952, !, 37.49.236.56, AS16211, France-IX, France-IX, FR, Paris
953, !, 206.72.208.16, AS62752, MBIX, Manitoba Internet Exchange, CA, Manitoba Winnipeg
954, !, 194.68.133.163, AS34610, Netnod Sundsvall, Netnod Sundsvall, SE, Sundsvall
955, !, 91.206.52.73, AS43531, SwissIX, SwissIX Internet Exchange, CH, Zurich
956, !, 195.66.225.157, AS198831, LINX, London Internet Exchange, GB//Kingdom United, London
957, !, 206.41.108.49, AS21351, FL-IX, FL-IX - The South Florida Internet Exchange, US, Miami
958, !, 80.81.192.187, AS33891, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
959, !, 196.46.25.51, AS327979, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
960, !, 198.32.160.96, AS14361, NYIIX, New York International Internet Exchange, US, York New
961, ?, 218.100.78.46, AS38809, Victoria Internet Exchange, VIC-IX, QLD-IX, Queensland Internet Exchange, AU, Victoria Melbourne//Brisbane
962, !, 192.203.154.189, AS132919, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
963, !, 192.108.148.62, AS43541, , Slovak Internet Exchange Bratislava, SK, Bratislava
964, !, 119.27.63.7, AS1273, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
965, !, 193.111.172.31, AS198508, GN-IX, , NL, Groningen
966, !, 80.81.192.114, AS42473, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
967, !, 195.66.226.126, AS58273, LINX, London Internet Exchange, GB//Kingdom United, London
968, !, 203.163.222.8, AS17709, TPIX, Taipei Internet Exchange, TW, Taiwan Taipei
969, !, 103.26.68.139, AS133075, MegaIX Sydney, Megaport MegaIX Sydney, AU, Sydney
970, !, 218.100.0.50, AS9313, PIPE Brisbane, PIPE Networks Brisbane, AU, Brisbane
971, ?, 187.16.216.75, AS28220, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
972, !, 185.6.36.20, AS31122, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
973, !, 209.124.52.123, AS12129, DET-IX, DET-IX, US, Detroit
974, !, 193.239.117.232, AS203815, NL-IX, Neutral Internet Exchange, NL, Amsterdam
975, !, 119.27.63.127, AS63199, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
976, !, 206.41.106.23, AS6461, AMS-IX BA, AMS-IX Bay Area, US, San Francisco Jose
977, !, 196.10.140.26, AS37053, NAPAfrica, NAPAfrica Cape Town, ZA//Africa South, Cape Town
978, !, 192.121.80.149, AS44581, STHIX, Stockholm Internet eXchange, SE, Stockholm
979, !, 192.65.185.143, AS2686, CIXP, CERN Internet Exchange Point, CH, Geneva
980, !, 194.68.123.44, AS2686, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
981, !, 198.32.125.93, AS132591, NOTA, NAP of the Americas, US, Miami
982, !, 200.219.143.87, AS53230, PTT Porto Alegre, , BR, Alegre Porto
983, !, 206.223.116.16, AS10310, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
984, !, 27.111.228.69, AS36351, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
985, !, 5.57.80.148, AS25061, LoNAP, London Network Access Point, GB//Kingdom United, London
986, !, 218.100.2.32, AS109, PIPE Sydney, PIPE Networks Sydney, AU, Sydney NSW
987, !, 218.100.6.171, AS18403, BBIX Tokyo, , JP, Tokyo//Fukuoka
988, !, 91.213.211.66, AS197013, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
989, !, 37.49.232.2, AS51706, FranceIX Marseille, France-IX Marseille, FR, Marseille
990, !, 80.249.208.29, AS8304, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
991, !, 206.72.210.175, AS27193, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
992, !, 206.108.255.70, AS16851, MICE, Midwest Internet Cooperative Exchange, US, MN Minneapolis
993, !, 195.42.144.179, AS198423, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
994, !, 212.91.0.50, AS6939, Thinx IX, Thinx Poland, PL, Warsaw
995, !, 195.191.171.27, AS200750, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
996, ?, 187.16.217.75, AS28165, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
997, !, 187.16.220.66, AS263518, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
998, !, 80.249.211.125, AS57685, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
999, !, 37.49.236.94, AS28855, France-IX, France-IX, FR, Paris
1000, !, 193.108.98.177, AS21159, NDIX, Nederlands-Duitse Internet Exchange, NL, Enschede
1001, !, 123.255.91.232, AS6619, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
1002, !, 91.206.52.11, AS21069, SwissIX, SwissIX Internet Exchange, CH, Zurich
1003, !, 198.32.124.188, AS8075, NOTA, NAP of the Americas, US, Miami
1004, !, 218.100.6.44, AS38040, BBIX Tokyo, , JP, Tokyo//Fukuoka
1005, !, 196.46.25.96, AS327824, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
1006, !, 91.213.211.65, AS8778, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
1007, !, 196.10.140.50, AS328013, NAPAfrica, NAPAfrica Cape Town, ZA//Africa South, Cape Town
1008, !, 91.212.9.69, AS56575, EPIX, EPIX.Warszawa-KIX, PL, Warszawa
1009, !, 80.249.210.27, AS51313, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1010, ?, 198.32.118.207, AS22071, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
1011, !, 187.16.202.6, AS52751, PTT Lajeado, IX.br Lajeado, BR, Lajeado RS
1012, !, 188.93.171.3, AS24611, LU-CIX, Luxembourg Commercial Internet Exchange, LU, Luxembourg
1013, !, 194.226.100.116, AS57629, MSK-IX Saint-Petersburg, MSK-IX Saint-Petersburg, RU, Saint Petersburg
1014, !, 195.66.224.180, AS8681, LINX, London Internet Exchange, GB//Kingdom United, London
1015, ?, 198.32.212.61, AS24093, WAIX, Western Australian Internet Association, IX Australia WA, West Australian Internet Exchange, AU, Perth
1016, !, 187.16.222.9, AS53158, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1017, !, 195.66.226.50, AS34407, LINX, London Internet Exchange, GB//Kingdom United, London
1018, !, 27.111.228.124, AS64049, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
1019, !, 144.92.233.240, AS5683, MadIX, Madison Internet Exchange, US, Madison
1020, !, 80.249.212.128, AS60357, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1021, !, 187.16.222.88, AS52691, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1022, !, 198.32.125.102, AS28663, NOTA, NAP of the Americas, US, Miami
1023, !, 80.249.211.89, AS9329, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1024, !, 80.81.193.29, AS12312, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1025, !, 91.210.16.35, AS6830, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
1026, !, 5.57.80.236, AS31402, LoNAP, London Network Access Point, GB//Kingdom United, London
1027, !, 194.53.172.50, AS39923, BNIX, Belgian National Internet Exchange, BE, Brussels
1028, !, 206.126.236.69, AS8001, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
1029, !, 200.219.139.158, AS263623, PTT Belo Horizonte, IX.br Belo Horizonte, BR, Horizonte MG Belo
1030, !, 194.68.123.158, AS2119, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
1031, !, 193.110.13.139, AS250, SOLIX, SOLIX, SE, Stockholm
1032, !, 206.41.105.33, AS32244, Phoenix-IX, Phoenix-IX, US, Phoenix
1033, !, 206.126.235.4, AS20940, OmahaIX, OmahaIX, US, Omaha
1034, !, 80.249.210.59, AS34624, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1035, !, 195.66.224.186, AS25180, LINX, London Internet Exchange, GB//Kingdom United, London
1036, !, 200.192.110.30, AS14840, PTT Brasilia, IX.br Brasília, BR, DF Brasilia
1037, !, 195.66.225.152, AS8674, LINX, London Internet Exchange, GB//Kingdom United, London
1038, !, 206.53.174.6, AS20940, MegaIX Dallas, Megaport MegaIX Dallas, US, Dallas
1039, !, 91.206.52.155, AS12387, SwissIX, SwissIX Internet Exchange, CH, Zurich
1040, !, 204.107.122.12, AS26785, MKEIX, , US, Milwaukee
1041, !, 37.49.236.203, AS50245, France-IX, France-IX, FR, Paris
1042, !, 203.163.222.20, AS131584, TPIX, Taipei Internet Exchange, TW, Taiwan Taipei
1043, !, 196.223.5.41, AS33772, TIX, Tanzania Internet Exchange, TZ, Salaam Dar es
1044, !, 195.66.238.147, AS714, LINX, London Internet Exchange, GB//Kingdom United, London
1045, !, 210.171.224.181, AS2518, JPIX, Japan Internet Exchange, JP, Tokyo
1046, ?, 198.32.132.112, AS13414, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
1047, !, 200.219.147.13, AS53144, PTT Recife, IX.br Recife, BR, Recife PE
1048, !, 200.219.143.36, AS52892, PTT Porto Alegre, , BR, Alegre Porto
1049, !, 198.32.160.157, AS20473, NYIIX, New York International Internet Exchange, US, York New
1050, !, 80.81.195.21, AS53264, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1051, !, 194.68.133.148, AS29518, Netnod Sundsvall, Netnod Sundsvall, SE, Sundsvall
1052, !, 195.208.209.162, AS49505, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
1053, !, 206.81.80.84, AS101, SIX, Seattle Internet Exchange, US, Seattle
1054, !, 194.68.129.188, AS12670, SFINX, Service for French Internet Exchange, FR, Paris
1055, !, 80.249.211.8, AS57724, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1056, !, 218.100.6.90, AS4678, BBIX Tokyo, , JP, Tokyo//Fukuoka
1057, !, 192.65.185.233, AS12333, CIXP, CERN Internet Exchange Point, CH, Geneva
1058, !, 203.190.230.104, AS2635, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
1059, !, 206.126.236.209, AS27471, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
1060, !, 80.81.194.47, AS1680, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1061, !, 196.46.25.55, AS327991, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
1062, ?, 187.16.216.201, AS14571, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1063, !, 195.66.225.117, AS8732, LINX, London Internet Exchange, GB//Kingdom United, London
1064, ?, 77.95.71.17, AS2200, Lyonix, LyonIX, GrenoblIX, GrenoblIX, FR, Lyon//Grenoble
1065, !, 196.46.25.82, AS327962, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
1066, !, 187.16.222.38, AS262469, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1067, !, 195.182.218.223, AS53459, PLIX, Polish Internet Exchange, PL, Warsaw
1068, !, 80.81.202.2, AS8767, DE-CIX Munich, Deutscher Commercial Internet Exchange Munich, DE, Munich
1069, !, 192.114.62.42, AS61102, IIX, Israeli Internet Exchange, IL, Tikva Petah//Tel Aviv
1070, !, 193.232.136.33, AS13238, MSK-IX Vladivostok, MSK-IX Vladivostok, RU, Vladivostok
1071, !, 218.100.76.46, AS24516, IX Australia QLD, Queensland Internet Exchange, AU, Brisbane Queensland
1072, !, 43.243.22.15, AS133736, MegaPort-IX Auckland, MegaPort-IX Auckland, NZ//Zealand New, Auckland
1073, !, 196.10.140.76, AS328020, NAPAfrica, NAPAfrica Cape Town, ZA//Africa South, Cape Town
1074, !, 195.66.236.113, AS48961, LINX, London Internet Exchange, GB//Kingdom United, London
1075, !, 80.249.212.55, AS4657, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1076, !, 193.189.82.183, AS198599, KleyRex, KleyReX Internet Exchange, DE, Frankfurt am Main
1077, !, 80.81.194.134, AS39702, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1078, !, 95.140.128.34, AS196983, VSIX, VSIX NAP del Nord Est, IT, Padova
1079, !, 218.100.52.55, AS45510, NSW-IX, , AU, Sydney NSW
1080, !, 206.53.143.8, AS17054, Mass-IX, Massachusetts Internet Exchange, US, Boston
1081, !, 103.231.152.85, AS17961, BBIX Singapore, BroadBand Internet eXchange Singapore, SG, Singapore
1082, !, 185.6.36.16, AS1213, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
1083, !, 80.81.192.28, AS20940, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
1084, !, 80.249.209.92, AS8674, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1085, !, 43.243.21.6, AS4826, AKL-IX, Auckland Internet Exchange, NZ, Auckland
1086, !, 192.145.251.117, AS703, KINX, Korea Internet Neutral Exchange KINX, KR//Korea, Seoul
1087, !, 210.171.224.41, AS12041, JPIX, Japan Internet Exchange, JP, Tokyo
1088, !, 202.40.161.211, AS24077, HKIX, Hong Kong Internet Exchange, HK//CN, Hong Kong
1089, !, 187.16.220.74, AS28173, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1090, !, 206.130.10.149, AS36351, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
1091, !, 200.219.144.38, AS28663, PTT Londrina, IX.br Londrina, BR, PR Londrina
1092, !, 195.66.224.223, AS29550, LINX, London Internet Exchange, GB//Kingdom United, London
1093, !, 195.66.225.122, AS1103, LINX, London Internet Exchange, GB//Kingdom United, London
1094, !, 195.42.145.67, AS198792, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
1095, !, 5.57.80.233, AS34066, LoNAP, London Network Access Point, GB//Kingdom United, London
1096, !, 194.146.118.54, AS250, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
1097, !, 123.255.90.56, AS38819, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
1098, ?, 206.126.115.48, AS14928, TIE New York, TelX Internet Exchange, Digital Realty | Telx New York, Digital Realty New York Internet Exchange, US, Jersey York New
1099, !, 206.223.125.33, AS14371, TP-IX, Twin Ports Internet Exchange, US, Duluth
1100, ?, 187.16.219.173, AS53088, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
1101, !, 198.32.124.146, AS25152, NOTA, NAP of the Americas, US, Miami
1102, !, 193.239.117.38, AS197985, NL-IX, Neutral Internet Exchange, NL, Amsterdam
1103, !, 200.0.20.251, AS52462, AMS-IX Caribbean, , CW, Curacao//Willemstad
1104, !, 80.249.211.180, AS16839, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1105, ?, 218.100.27.11, AS134622, Open IXP, OpenIXP Internet exchange Point, OpenIXP / NiCE, National Inter Connection Exchange, ID, Indonesia//Jakarta
1106, !, 178.18.226.50, AS12695, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
1107, ?, 198.32.132.45, AS22384, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
1108, !, 80.249.211.230, AS27381, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1109, !, 187.16.220.184, AS53059, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
1110, !, 195.66.238.5, AS58453, LINX, London Internet Exchange, GB//Kingdom United, London
1111, !, 218.100.13.36, AS17459, PIPE Melbourne, PIPE Networks Melbourne, AU, Melbourne
1112, !, 27.111.228.58, AS4773, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
1113, !, 206.108.236.23, AS7849, Boston Internet Exchange, Boston Internet Exchange, US, Massachusetts Boston
1114, !, 80.249.209.229, AS5580, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1115, !, 188.93.170.25, AS197264, LU-CIX, Luxembourg Commercial Internet Exchange, LU, Luxembourg
1116, !, 193.218.0.94, AS13004, NetIX, NetIX Communications Ltd., BG, Sofia
1117, !, 80.249.209.228, AS8426, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
1118, !, 80.249.211.29, AS21339, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
