US,美国,北美洲,其他,亚太,8312731617,0.5008
SE,瑞典,欧洲,其他,其他,2339228744,0.1409
ZZ,查无,查无,其他,其他,1753342165,0.1056
HK,中国（香港）,亚洲,一带一路,亚太,724557191,0.0437
KR,韩国,亚洲,其他,亚太,636290164,0.0383
JP,日本,亚洲,其他,亚太,462615344,0.0279
IT,意大利,欧洲,其他,其他,298097292,0.018
DE,德国,欧洲,其他,其他,292541520,0.0176
GB,英国,欧洲,其他,其他,250712832,0.0151
EU,“欧盟”,欧洲,其他,其他,210500608,0.0127
ES,西班牙,欧洲,其他,其他,204445265,0.0123
NL,荷兰,欧洲,其他,其他,145656576,0.0088
TW,中国（台湾）,亚洲,其他,亚太,135425056,0.0082
FR,法国,欧洲,其他,其他,114194986,0.0069
RU,俄罗斯,欧洲,一带一路,亚太,104040192,0.0063
CA,加拿大,北美洲,其他,亚太,86844672,0.0052
SG,新加坡,亚洲,一带一路,亚太,82703528,0.005
BR,巴西,南美洲,其他,其他,65903872,0.004
VN,越南,亚洲,一带一路,亚太,41685853,0.0025
ID,印度尼西亚,亚洲,一带一路,亚太,31559320,0.0019
NO,挪威,欧洲,其他,其他,28398410,0.0017
DK,丹麦,欧洲,其他,其他,25480704,0.0015
ZA,南非,非洲,其他,其他,24507648,0.0015
KE,肯尼亚,非洲,其他,其他,20129536,0.0012
CH,瑞士,欧洲,其他,其他,19449176,0.0012
AU,澳大利亚,大洋洲,其他,亚太,16741888,0.001
MY,马来西亚,亚洲,一带一路,亚太,15925944,0.001
CO,哥伦比亚,南美洲,其他,其他,14876416,0.0009
TH,泰国,亚洲,一带一路,亚太,12868897,0.0008
UY,乌拉圭,南美洲,其他,其他,11450880,0.0007
BE,比利时,欧洲,其他,其他,10714123,0.0006
AE,阿拉伯联合酋长国,亚洲,一带一路,其他,9455981,0.0006
,,亚洲,其他,其他,8917449,0.0005
RO,罗马尼亚,欧洲,一带一路,其他,8493824,0.0005
TR,土耳其,亚洲,一带一路,其他,8419072,0.0005
IL,以色列,亚洲,一带一路,其他,8120832,0.0005
SA,沙特阿拉伯,亚洲,一带一路,其他,7021056,0.0004
PT,葡萄牙,欧洲,其他,其他,5642496,0.0003
PL,波兰,欧洲,一带一路,其他,4626432,0.0003
FI,芬兰,欧洲,其他,其他,4292864,0.0003
GR,希腊,欧洲,一带一路,其他,4219112,0.0003
KZ,哈萨克斯坦,亚洲,一带一路,其他,4190720,0.0003
GT,危地马拉,北美洲,其他,其他,4055808,0.0002
NZ,新西兰,大洋洲,其他,亚太,3465936,0.0002
MO,中国（澳门）,亚洲,一带一路,亚太,3069184,0.0002
LT,立陶宛,欧洲,一带一路,其他,2588416,0.0002
BH,巴林,亚洲,一带一路,其他,2031520,0.0001
AT,奥地利,欧洲,其他,其他,1920458,0.0001
PH,菲律宾,亚洲,一带一路,亚太,1547048,0.0001
AO,安哥拉,非洲,其他,其他,1536256,0.0001
RS,塞尔维亚,欧洲,一带一路,其他,1271040,0.0001
OM,阿曼,亚洲,一带一路,其他,1154130,0.0001
SI,斯洛文尼亚,欧洲,一带一路,其他,971872,0.0001
BD,孟加拉,亚洲,一带一路,其他,931840,0.0001
LU,卢森堡,欧洲,其他,其他,791552,0.0
IN,印度,亚洲,一带一路,其他,749137,0.0
CZ,捷克共和国,欧洲,一带一路,其他,678656,0.0
KH,柬埔寨,亚洲,一带一路,亚太,649994,0.0
BG,保加利亚,欧洲,一带一路,其他,470528,0.0
LK,斯里兰卡,亚洲,一带一路,其他,282368,0.0
MU,毛里求斯,非洲,其他,其他,281856,0.0
KW,科威特,亚洲,一带一路,其他,270080,0.0
VE,委内瑞拉,南美洲,其他,其他,259328,0.0
IS,冰岛,欧洲,其他,其他,214272,0.0
LA,老挝人民民主共和国,亚洲,一带一路,亚太,209198,0.0
NG,尼日利亚,非洲,其他,其他,207104,0.0
NP,尼泊尔,亚洲,一带一路,其他,158464,0.0
NA,纳米比亚,非洲,其他,其他,133376,0.0
GU,关岛,大洋洲,其他,其他,110848,0.0
MN,蒙古,亚洲,一带一路,亚太,93952,0.0
EC,厄瓜多尔,南美洲,其他,其他,86272,0.0
BN,文莱,亚洲,一带一路,亚太,69888,0.0
PG,巴布亚新几内亚,大洋洲,其他,亚太,69632,0.0
SC,塞舌尔群岛,非洲,其他,其他,64768,0.0
BZ,伯利兹,北美洲,其他,其他,60160,0.0
BT,不丹,亚洲,一带一路,其他,48128,0.0
MM,缅甸,亚洲,一带一路,其他,44536,0.0
QA,卡塔尔,亚洲,一带一路,其他,43264,0.0
RW,卢旺达,非洲,其他,其他,38912,0.0
SX,圣马丁岛,北美洲,其他,其他,30720,0.0
PR,波多黎各,北美洲,其他,其他,28160,0.0
MX,墨西哥,北美洲,其他,亚太,20224,0.0
PK,巴基斯坦,亚洲,一带一路,其他,18432,0.0
GH,加纳,非洲,其他,其他,16896,0.0
TJ,塔吉克斯坦,亚洲,一带一路,其他,16896,0.0
UG,乌干达,非洲,其他,其他,15104,0.0
IE,爱尔兰,欧洲,其他,其他,10752,0.0
BW,博茨瓦纳,非洲,其他,其他,9728,0.0
VG,英属维京群岛,北美洲,其他,其他,8192,0.0
MV,马尔代夫,亚洲,一带一路,其他,7168,0.0
AF,阿富汗,亚洲,一带一路,其他,4608,0.0
CY,塞浦路斯,欧洲,一带一路,其他,3584,0.0
FJ,斐济,大洋洲,其他,其他,3328,0.0
IM,曼岛,欧洲,其他,其他,3072,0.0
SZ,斯威士兰,非洲,其他,其他,2560,0.0
CL,智利,南美洲,其他,亚太,1280,0.0
SS,南苏丹,非洲,其他,其他,768,0.0
DJ,吉布提,非洲,其他,其他,552,0.0
IQ,伊拉克,亚洲,一带一路,其他,256,0.0
AR,阿根廷,南美洲,其他,其他,256,0.0
TL,东帝汶,大洋洲,其他,亚太,113,0.0
MZ,莫桑比克,非洲,其他,其他,69,0.0
