Qlipso Inc. - US
Ziplogix - US,-82.9388071,42.5535037
GUILD GROUP HOLDINGS LIMITED - AU,144.965982,-37.8152491
SYSTEM NETWORKS S.A. ESP - CO,-83.3947366,4.5876928
Mach1 Broadband Nagpur Pvt Ltd - IN,79.062633,21.1241511
PT. Indie Internet Solution - ID,111.5375803,-7.628991
28 TELECOM LLC - US,-95.7120989,34.3109944
Fujitsu America Inc. - US,-121.9912482,37.3787948
Rearden  LLC - US,-122.3946107,37.783551
CERNET2 IX at Fudan University - CN,121.5014291,31.2974197
RealUA Ltd. - UA,24.3030354,50.83075
PC Service Source - US,-77.3094049,38.873049
Lane Education Network (LEN) - US
You Tools Corporation/FastNet - US,-99.3252373,36.9391864
Beijing  Capital-online science development Co. Ltd. ShangHai Branch&#65289; - CN,121.1597712,31.1464507
Cartero Holdings Inc. - CA
Novo Vltech Solutions SRL - RO
Yesilbir Bilisim Teknolojileri Bilgisayar Yayincilik Sanayi ve Ticaret Ltd. Sti. - TR
Centurylink Communications UK Limited - GB,-0.1031527,51.5287207
LightEdge Solutions - US,-95.861749,40.4079767
Transactium Ltd. - MT,14.436976,35.8786742
Tricetel  Inc. - US
JPE Consulting Ltd. - AT,11.9088935,47.7462095
GLOBAL TELECOM BUSINESS SOLUTIONS S.A. de C.V. - SV,-89.0168888,13.6027952
Saint Joseph's Hospital & Medical Center - US,-95.7120989,34.3109944
Ziyao Yan - GB
Advance Net Pty Ltd - AU,124.7055742,-34.6293616
Rockefeller Group Telecommunications Service - US
Danske Bank A/S Estonia branch - EE,24.7614126,59.4375038
Sinewave  Inc. - US,-83.3125988,41.0075875
T-Systems Magyarorszag zrt - HU,19.0950612,47.4757456
SIA INBOKSS - LV
Marbas Menkul Degerler A.S. - TR,29.7986193,40.4855493
Perfect Sense Digital  LLC - US
Garrison Network Solutions LLC - US
Zerigo  Inc. - US
CORP BANCA  C.A. - VE,-70.1595059,9.5542091
DIREKTORATET FOR SAMFUNNSSIKKERHET OG BEREDSKAP - NO,10.7573965,59.9133506
Ipv4 Bilisim Ltd. Sti. - TR
Ministry Of Health and Medical Education - IR,51.3344313,35.7276854
Closed Joint Stock Company SibTransTelecom - RU
EPAM Systems  Inc - US,-95.7120989,34.3109944
Altagen JSC - RU
Live Journal Inc. - US,-95.7120989,34.3109944
Internet Exchange Point Association of Namibia - NA
NTX Technologies s.r.o. - RU
Clarion Hospital - US,-79.3998817,41.1927583
Ukrainian Multiservice Network  Ltd. - UA,30.4463039,48.4656396
SouthTech.Net - US,-82.5155103,27.3380695
PCI - US,-117.1223461,32.8314494
Red-Cresent_SA - SA,40.1089933,24.2073661
Green Net co ltd - JP
AHON INFORMATION TECHNOLOGY CO. LIMITED - HK,114.0969282,22.3362502
P&S Credit Management  L.P. - US
Industrial Development and Renovation Organization of Iran - IR,44.6670451,31.973541
GLOBEXBANK CJSC - RO
eaga PLC - GB
Ertebatat Sayar Houshmand Amin Company (PJSC) - IR
Telekor Company Ltd - RU,48.3333636,48.672859
Triple Play - ID,-88.0936767,42.484886
Wakkanai Hokusei Gakuen University - JP,141.7157338,45.3828035
Ecole Superieure d'Informatique - FR,-1.3931035,46.9012498
MVB Financial Corp - US,-82.0733767,39.0110505
Cisco Webex LLC - US
Federal state budgetary institution Vserossiyskiy gosudarstvennyi Centr kachestva i standartizacii lekarstvennyh sredstv dlya zhivotnyh i kormov - RU
Christopher Hansen trading as Netravnen - DK
Synacor  Inc. - US,-78.6806098,41.7943515
Scibile Network SA - CH,6.4649418,46.7896461
Teleport LLC - RU
UC2B - US
Valo Networks Ltd. - CA
Mid-Pacific Institute - US,-157.8189451,21.303722
Boston PainCare Center - US,-71.2708564,42.3944193
ENGIE SA - FR,-6.7724878,45.9278002
Mft Retails - IN,88.3323243,22.624422
Rio Tinto Services Inc - US,-95.7120989,34.3109944
IT ADMIRABLE SERVICE LTD - CZ
Chicago Board Options Exchange - US
GIL HECTOR JESUS (NETIX) - AR
Nasdaq  Inc. - US
National Communications Authority of Timor-Leste - TL
Comscale Limited - GB,-5.259613,46.2927742
Ole Mathias Aarseth Heggem - NO
Adigeya Telecom LLC - RU,38.6055501,44.4835968
San Francisco Bay Area Rapid Transit District - US
Southern NJ Internet Providers (SNIP) - US
Datacenter101 - US
Sage Enterprises  Inc. - US
Missouri Network Alliance  LLC - US
SERGEY MUTIN - RU
Citicorp - US
INTERAMERICAN BULGARIA ZEAD - BG
UNIVERSIDAD NACIONAL DE RÍO NEGRO - AR
EZNETWORKING SOLUTIONS PTE. LTD. - SG
URUS Smart Digital Services LLC - RU
1-800-HOSTING  Inc. - US,-95.7120989,34.3109944
GameServers.com - US
Best Hosting Company Ltd - RU,-85.8410071,1.223489
PICS.NET - US,-95.7120989,34.3109944
Accrue Software  Inc. - US,-95.7120989,34.3109944
Designed Information Systems Corporation - CA,-95.7120989,34.3109944
ELASTX AB - SE,18.0657406,59.3320108
Twilio Inc. - DE,11.6024414,48.1228601
WWW Passport Inc - US,-95.7120989,34.3109944
Sebastian-Wilhelm Graf - AT
LLC SLS - RU
Pacific Service Federal Credit - US,-151.2844685,28.8914777
Comfy Trade LLC - UA
Electronic Program Service Co. - RU,38.9461039,55.6231785
Integrys.it s.r.l. - IT,13.3148678,38.1582558
Telia Sonera Telekomunikasyon Hizmetleri A.S. - TR,29.794232,39.8281069
