1|208|20|188|0|LVLT-1|Level 3 Parent, LLC|ARIN|US|41.08144|-81.51901
3|1|0|0|1|MIT-GATEWAYS|Massachusetts Institute of Technology|ARIN|US|41.08144|-81.51901
6|1|0|0|1|BULL-HN|Bull HN Information Systems Inc.|ARIN|US|41.08144|-81.51901
7|2|0|0|2|DSTL|The Defence Science and Technology Laboratory|RIPE|EU|0.0|0.0
8|2|0|0|2|RICE-AS|Rice University|ARIN|US|41.08144|-81.51901
9|1|0|0|1|CMU-ROUTER|Carnegie Mellon University|ARIN|US|41.08144|-81.51901
13|2|0|0|2|DNIC-AS-00013|Headquarters, USAISC|ARIN|US|41.08144|-81.51901
16|1|0|0|1|LBL|Lawrence Berkeley National Laboratory|ARIN|US|41.08144|-81.51901
17|2|1|0|1|PURDUE|Purdue University|ARIN|US|41.08144|-81.51901
22|5|0|3|2|DNIC-AS-00022|Navy Network Information Center (NNIC)|ARIN|US|41.08144|-81.51901
25|3|1|1|1|UCB|University of California at Berkeley|ARIN|US|41.08144|-81.51901
26|2|0|0|2|CORNELL|Cornell University|ARIN|US|41.08144|-81.51901
27|2|0|0|2|UMDNET|University of Maryland|ARIN|US|41.08144|-81.51901
31|2|0|0|2|CIT|California Institute of Technology|ARIN|US|41.08144|-81.51901
32|1|0|0|1|STANFORD|Stanford University|ARIN|US|41.08144|-81.51901
33|4|2|0|2|HP-DIGITAL-33|Hewlett-Packard Company|ARIN|US|41.08144|-81.51901
34|2|0|0|2|UDELNET|University of Delaware|ARIN|US|41.08144|-81.51901
35|1|0|0|1|MITRE-AS-1|The MITRE Corporation|ARIN|US|41.08144|-81.51901
38|5|1|1|3|UIUC|University of Illinois|ARIN|US|41.08144|-81.51901
41|1|0|0|1|AS41|National Aeronautics and Space Administration|ARIN|US|41.08144|-81.51901
43|2|0|0|2|BNL-AS|Brookhaven National Laboratory|ARIN|US|41.08144|-81.51901
45|1|0|0|1|LLL-TIS-AS|Lawrence Livermore National Laboratory|ARIN|US|41.08144|-81.51901
46|3|0|0|3|RUTGERS|Rutgers University|ARIN|US|41.08144|-81.51901
48|2|0|0|2|DNIC-AS-00048|Navy Network Information Center (NNIC)|ARIN|US|41.08144|-81.51901
49|1|0|0|1|US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY|US National Institute of Standards & Technology|ARIN|US|41.08144|-81.51901
50|2|0|1|1|ORNL-MSRNET|Oak Ridge National Laboratory|ARIN|US|41.08144|-81.51901
52|3|0|1|2|UCLA|University of California, Los Angeles|ARIN|US|41.08144|-81.51901
55|2|0|0|2|UPENN|University of Pennsylvania|ARIN|US|41.08144|-81.51901
68|1|0|0|1|LANL-INET-AS|Los Alamos National Laboratory|ARIN|US|41.08144|-81.51901
70|2|0|1|1|NLM-GW|National Library of Medicine|ARIN|US|41.08144|-81.51901
71|7|0|0|7|HP-INTERNET-AS|Hewlett-Packard Company|ARIN|US|41.08144|-81.51901
72|1|0|0|1|SCHLUMBERGER-AS|Schlumberger Limited|ARIN|US|41.08144|-81.51901
73|2|0|0|2|WASHINGTON-AS|University of Washington|ARIN|US|41.08144|-81.51901
74|1|0|0|1|SSC-299-Z-74|Shared Services Canada|ARIN|CA|43.351|-79.7833
